action,month,day,hour,count,sum,avg,std,step
TRANSFER,0,0,0,8,230845.67,28855.71,18198.43,0
CASH_OUT,0,0,0,8,230845.67,28855.71,18198.43,0
CASH_IN,0,0,1,13001,1779009378.73,136836.35,698.51,1
PAYMENT,0,0,1,221,1288677.47,5831.12,226.95,1
DEBIT,0,0,1,477,3805467.83,7977.92,268.39,1
TRANSFER,0,0,1,11,1012185.18,92016.83,52851.72,1
CASH_OUT,0,0,1,73,6918927.16,94779.82,9818.42,1
CASH_IN,0,0,2,2672,373380580.42,139738.24,1588.31,2
PAYMENT,0,0,2,60,405486.17,6758.10,406.62,2
DEBIT,0,0,2,108,561185.59,5196.16,336.66,2
TRANSFER,0,0,2,16,2008506.63,125531.66,46477.56,2
CASH_OUT,0,0,2,25,2532341.66,101293.67,29453.86,2
CASH_IN,0,0,3,32,4050936.60,126591.77,13616.00,3
DEBIT,0,0,3,5,13169.50,2633.90,1295.97,3
TRANSFER,0,0,3,7,603638.24,86234.03,69157.38,3
CASH_OUT,0,0,3,7,603638.24,86234.03,69157.38,3
TRANSFER,0,0,4,15,1141554.31,76103.62,29826.98,4
CASH_OUT,0,0,4,15,1141554.31,76103.62,29826.98,4
TRANSFER,0,0,5,8,499662.87,62457.86,29158.14,5
CASH_OUT,0,0,5,8,499662.87,62457.86,29158.14,5
CASH_IN,0,0,6,4836,683510160.04,141337.92,1193.31,6
PAYMENT,0,0,6,76,504695.89,6640.74,436.81,6
DEBIT,0,0,6,169,944339.24,5587.81,292.66,6
TRANSFER,0,0,6,14,1311556.19,93682.58,52236.34,6
CASH_OUT,0,0,6,42,3922415.73,93390.85,17681.27,6
CASH_IN,0,0,7,32671,4448848504.74,136171.18,438.08,7
PAYMENT,0,0,7,599,4268633.39,7126.27,160.72,7
DEBIT,0,0,7,1240,7733455.57,6236.66,128.30,7
TRANSFER,0,0,7,27,5810085.04,215188.33,43317.38,7
CASH_OUT,0,0,7,212,22614125.38,106670.40,6571.95,7
CASH_IN,0,0,8,88339,12119875635.43,137197.34,267.85,8
PAYMENT,0,0,8,1648,12061884.59,7319.10,106.36,8
DEBIT,0,0,8,3177,28856936.40,9083.08,117.45,8
TRANSFER,0,0,8,70,19742076.99,282029.67,34259.55,8
CASH_OUT,0,0,8,693,78211391.60,112859.15,3073.38,8
CASH_IN,0,0,9,126295,17518427938.95,138710.38,224.79,9
PAYMENT,0,0,9,3544,28197230.85,7956.33,75.95,9
DEBIT,0,0,9,4830,46364496.55,9599.27,100.47,9
TRANSFER,0,0,9,365,176442423.04,483403.90,17425.24,9
CASH_OUT,0,0,9,2412,321177046.41,133157.98,1582.65,9
CASH_IN,0,0,10,78875,11135451775.33,141178.47,287.51,10
PAYMENT,0,0,10,4245,34366334.46,8095.72,70.88,10
DEBIT,0,0,10,3199,33489300.23,10468.68,133.19,10
TRANSFER,0,0,10,705,354456879.19,502775.72,12867.33,10
CASH_OUT,0,0,10,3564,491508176.69,137909.14,1360.79,10
CASH_IN,0,0,11,75017,10578148593.34,141010.02,293.96,11
PAYMENT,0,0,11,6078,50654941.83,8334.15,59.20,11
DEBIT,0,0,11,3077,37989337.39,12346.23,163.22,11
TRANSFER,0,0,11,1175,548399288.79,466722.80,8553.75,11
CASH_OUT,0,0,11,5442,769482764.15,141397.05,1209.36,11
CASH_IN,0,0,12,66752,9387232677.29,140628.49,312.33,12
PAYMENT,0,0,12,7084,57088994.18,8058.86,54.45,12
DEBIT,0,0,12,2770,53926185.27,19467.94,252.11,12
TRANSFER,0,0,12,1561,680272156.14,435792.54,6976.96,12
CASH_OUT,0,0,12,6688,917370054.66,137166.58,951.22,12
