epoch,accuracy,auc,fn,fp,loss,precision,recall,tn,tp
0,0.9988999,0.9463503,1233.0,432.0,0.004607958017852076,0.8537576,0.67163783,1509317.0,2522.0
1,0.9993994,0.98161095,609.0,300.0,0.0021911788381213902,0.9129425,0.83781624,1509449.0,3146.0
2,0.99959236,0.98841906,435.0,182.0,0.0015274510384462921,0.9480297,0.88415444,1509567.0,3320.0
3,0.9996558,0.98950773,369.0,152.0,0.0013174190700917733,0.95703787,0.901731,1509597.0,3386.0
0,0.9988814,0.94461024,1235.0,458.0,0.004721077379633712,0.8464118,0.67145514,1509287.0,2524.0
1,0.9993532,0.98081136,647.0,332.0,0.002319083939856697,0.90360045,0.8278797,1509413.0,3112.0
2,0.9995765,0.9857396,448.0,193.0,0.0016358567523692728,0.94492006,0.8808194,1509552.0,3311.0
3,0.9996419,0.9867097,391.0,151.0,0.0014122402161320156,0.9570901,0.895983,1509594.0,3368.0
0,0.99892235,0.9448007,1213.0,418.0,0.004665283704441527,0.8601539,0.6794397,1509303.0,2571.0
1,0.9994245,0.9816234,656.0,215.0,0.0021460571812357532,0.9356865,0.82663846,1509506.0,3128.0
2,0.9996003,0.9868953,446.0,159.0,0.001582046960560499,0.95453244,0.88213533,1509562.0,3338.0
3,0.9996366,0.987323,394.0,156.0,0.0014115149048459991,0.95600677,0.89587736,1509565.0,3390.0
0,0.99889064,0.94647986,1234.0,445.0,0.004666490391366429,0.8499663,0.6713715,1509305.0,2521.0
1,0.9993294,0.98120654,673.0,342.0,0.0022733830703357614,0.9001168,0.8207723,1509408.0,3082.0
2,0.99958706,0.9871886,458.0,167.0,0.0015612633501882601,0.95178986,0.8780293,1509583.0,3297.0
3,0.9996597,0.9880312,376.0,139.0,0.0013618495513975316,0.9604889,0.8998668,1509611.0,3379.0
0,0.9988814,0.94339585,1251.0,442.0,0.004730090549888374,0.85122854,0.6690476,1509283.0,2529.0
1,0.99943113,0.9817396,641.0,220.0,0.0021427582147463906,0.93450433,0.8304233,1509505.0,3139.0
2,0.999591,0.986344,447.0,172.0,0.0015617096581141974,0.95092726,0.88174605,1509553.0,3333.0
3,0.9996386,0.98782134,393.0,154.0,0.0013731343793177673,0.9565095,0.89603174,1509571.0,3387.0
0,0.99889594,0.9435909,1240.0,431.0,0.0046965716137048865,0.85536915,0.6727369,1509285.0,2549.0
1,0.99940205,0.98030263,674.0,231.0,0.002226110497217098,0.9309623,0.8221167,1509485.0,3115.0
2,0.9995732,0.9863688,474.0,172.0,0.0016320739327993158,0.95067394,0.87490106,1509544.0,3315.0
3,0.9996346,0.9878545,404.0,149.0,0.0014284031227776756,0.9578381,0.8933756,1509567.0,3385.0
0,0.9989105,0.9413566,1227.0,422.0,0.004763311398989476,0.8567549,0.6728872,1509332.0,2524.0
1,0.999445,0.98133284,627.0,213.0,0.0021306431496686505,0.9361702,0.83284456,1509541.0,3124.0
2,0.9996194,0.98611194,424.0,152.0,0.0015528330771719188,0.95630926,0.8869635,1509602.0,3327.0
3,0.99965906,0.98907983,370.0,146.0,0.0013638616235376031,0.95860505,0.9013596,1509608.0,3381.0
0,0.9989052,0.94570607,1243.0,414.0,0.0046955884439068675,0.859375,0.6705539,1509318.0,2530.0
1,0.99938154,0.9824954,631.0,305.0,0.0022007669960852965,0.91151726,0.8327591,1509427.0,3142.0
2,0.9995996,0.9867358,425.0,181.0,0.0015163498969166618,0.9487107,0.88735753,1509551.0,3348.0
3,0.99964654,0.98794043,385.0,150.0,0.0013397666944054928,0.95760316,0.8979592,1509582.0,3388.0
0,0.99891245,0.9430086,1241.0,405.0,0.004603428830889311,0.8615858,0.67012227,1509338.0,2521.0
1,0.999447,0.98403436,660.0,177.0,0.0021135711656216022,0.9460201,0.8245614,1509566.0,3102.0
2,0.9996016,0.9862901,435.0,168.0,0.0015373954846182288,0.95193136,0.88437,1509575.0,3327.0
3,0.99964917,0.9880464,384.0,147.0,0.0013705664691029446,0.95829785,0.8979266,1509596.0,3378.0
0,0.9989105,0.94704795,1218.0,431.0,0.0045079118853117725,0.8539973,0.67424446,1509335.0,2521.0
1,0.9994496,0.9831592,611.0,222.0,0.0020404325008060863,0.9337313,0.8365873,1509544.0,3128.0
2,0.99959236,0.98633575,438.0,179.0,0.0015311001541937115,0.9485632,0.88285637,1509587.0,3301.0
3,0.9996353,0.9887758,392.0,160.0,0.001381232397568606,0.95437694,0.8951591,1509606.0,3347.0
0,0.99894094,0.9498773,1297.0,484.0,0.004455921297502646,0.8563798,0.68993545,1677005.0,2886.0
1,0.9994262,0.982756,712.0,253.0,0.00212592813915949,0.9320623,0.82978725,1677236.0,3471.0
2,0.9996087,0.987294,482.0,176.0,0.0015268276293423678,0.9546041,0.8847717,1677313.0,3701.0
3,0.9996426,0.9897152,428.0,173.0,0.00132415807486165,0.95595723,0.8976811,1677316.0,3755.0
