epoch,accuracy,auc,fn,fp,loss,precision,recall,tn,tp
0,0.9994462,0.97953707,3013.0,1178.0,0.002159866341518344,0.93043584,0.8394693,7547579.0,15756.0
1,0.99969065,0.9908066,1656.0,685.0,0.0011248645337937667,0.9615125,0.9117694,7548072.0,17113.0
2,0.99971086,0.9915889,1585.0,603.0,0.0010450851355263927,0.96609885,0.91555226,7548154.0,17184.0
3,0.9997193,0.9922857,1569.0,555.0,0.000997228032654979,0.9687412,0.9164047,7548202.0,17200.0
0,0.99866533,0.90390044,813.0,197.0,0.0064386014645046365,0.84402215,0.567323,754676.0,1066.0
1,0.99914896,0.97550184,412.0,232.0,0.003059701872554265,0.8634491,0.7807344,754641.0,1467.0
2,0.9994516,0.9816054,317.0,98.0,0.0021323506472230333,0.94096386,0.8312932,754775.0,1562.0
3,0.99950576,0.98301035,278.0,96.0,0.001868094304067755,0.9434296,0.85204893,754777.0,1601.0
0,0.99870896,0.91492134,773.0,204.0,0.005925454987439764,0.8416149,0.5837372,754691.0,1084.0
1,0.9991635,0.9773306,422.0,211.0,0.0030248469697453984,0.87181044,0.77275175,754684.0,1435.0
2,0.9994384,0.982742,311.0,114.0,0.002096714139830933,0.9313253,0.83252555,754781.0,1546.0
3,0.999523,0.98552597,268.0,93.0,0.00176094586661463,0.9447087,0.8556812,754802.0,1589.0
0,0.9987816,0.9206326,764.0,158.0,0.005836486498910336,0.8762725,0.59426445,754711.0,1119.0
1,0.9991371,0.9714787,440.0,213.0,0.00331376214724272,0.8713768,0.7663303,754656.0,1443.0
2,0.9992732,0.9791274,352.0,198.0,0.002645653483814372,0.88548297,0.8130643,754671.0,1531.0
3,0.99941725,0.98300797,303.0,138.0,0.0020882685169670966,0.91967404,0.8390866,754731.0,1580.0
0,0.9987737,0.92063874,763.0,165.0,0.005817634761214083,0.86894363,0.58912224,754730.0,1094.0
1,0.99912655,0.9737861,433.0,228.0,0.0032218172221949114,0.86198545,0.76682824,754667.0,1424.0
2,0.99927455,0.9802049,356.0,193.0,0.002585663788948211,0.88606846,0.8082929,754702.0,1501.0
3,0.9994582,0.9849591,292.0,118.0,0.0019255092767576881,0.9298871,0.8427571,754777.0,1565.0
0,0.9987486,0.9173894,763.0,184.0,0.005896671536906671,0.8592196,0.5954401,754682.0,1123.0
1,0.9991107,0.9761079,440.0,233.0,0.003093841380125965,0.8612269,0.766702,754633.0,1446.0
2,0.999408,0.97951865,344.0,104.0,0.002279549935897491,0.9368165,0.8176034,754762.0,1542.0
3,0.99950975,0.9843762,282.0,89.0,0.0019160762153381217,0.9474306,0.8504772,754777.0,1604.0
0,0.9987777,0.9179252,752.0,173.0,0.005906148939337055,0.8669231,0.5997871,754700.0,1127.0
1,0.999112,0.974917,438.0,234.0,0.003182751497037795,0.8602985,0.76689726,754639.0,1441.0
2,0.99938685,0.9821355,342.0,122.0,0.0022457928746111816,0.9264617,0.8179883,754751.0,1537.0
3,0.9995124,0.9835555,285.0,84.0,0.0018951864613284543,0.9499404,0.8483236,754789.0,1594.0
0,0.9987169,0.9133018,787.0,184.0,0.006045251026544839,0.8572537,0.5840381,754677.0,1105.0
1,0.99908423,0.97221726,439.0,254.0,0.003222315428539821,0.85120094,0.7679704,754607.0,1453.0
2,0.9993789,0.9809137,365.0,105.0,0.0023093269282760624,0.9356618,0.8070825,754756.0,1527.0
3,0.99947405,0.9849436,304.0,94.0,0.0019685663131545207,0.94411415,0.83932346,754767.0,1588.0
0,0.9987539,0.9121571,783.0,160.0,0.005998490840274119,0.86895984,0.5753796,754749.0,1061.0
1,0.999108,0.9714176,432.0,243.0,0.003273549240267349,0.8531722,0.7657267,754666.0,1412.0
2,0.9993142,0.97953516,340.0,179.0,0.0025185641618584785,0.8936423,0.8156182,754730.0,1504.0
3,0.9995018,0.9854186,257.0,120.0,0.0018433541052103562,0.9297012,0.8606291,754789.0,1587.0
